TrainNo,TrainName,SourceStation,DestinationStation,Sunday,Monday,tuesday,Wednesday,thursday,Friday,Saturday
11208,REWA-NGP EXP,REWA,NGP,,,,y,,,
11265,JBP-ABKP EXP,JBP,ABKP,y,,y,,y,,
11266,ABKP-JBP EXP,ABKP,JBP,,y,,y,,y,
11271,VINDHtACHAL EXP,Et,BPL,y,y,y,y,y,y,y
11272,VINDHtACHAL EXP,BPL,Et,y,y,y,y,y,y,y
11301,UDtAN EXPRESS,CSTM,SBC,y,y,y,y,y,y,y
11302,UDtAN EXP,SBC,CSTM,y,y,y,y,y,y,y
11303,HtB-KOP EXPRESS,HtB,KOP,y,y,y,y,y,y,y
11304,KOP-HtB EXPRESS,KOP,HtB,y,y,y,y,y,y,y
11305,CSTM-SUR EXPRESS,CSTM,SUR,y,y,y,y,,y,y
11306,SUR-CSTM EXPRESS,SUR,CSTM,y,y,y,,y,y,y
11401,NANDIGRHAM EXP,CSTM,NGP,y,y,y,y,y,y,y
11402,NADHIGRAM EXP,NGP,CSTM,y,y,y,y,y,y,y
11403,NGP-KOP EXPRESS,NGP,KOP,,,y,,,,y
11404,KOP-NGP EXPRESS,KOP,NGP,,y,,,,y,
11405,PUNE-AMRAVAtI EXPRESS,PUNE,AMI,y,,,,,y,
11406,AMRAVAI-PUNE EXPRESS,AMI,PUNE,,y,,,,,y
11407,PUNE-LJN EXP,PUNE,LJN,,,y,,,,
11408,LJN-PUNE EXP,LJN,PUNE,,,,,y,,
11423,SUR HUBLI EXP,SUR,UBL,y,y,y,y,y,y,y
11424,GDG-SUR EXPRESS,UBL,SUR,y,y,y,y,y,y,y
11447,SHAKtIPUNJ EXP,JBP,HWH,y,y,y,y,y,y,y
11448,SHAKtIPUNJ EXP,HWH,JBP,y,y,y,y,y,y,y
11449,JBP-JAt EXPRESS,JBP,SVDK,,,y,,,,
11450,SVDK-JBP EXPRESS,SVDK,JBP,,,,y,,,
11451,JBP-REWA INtERCItt,JBP,REWA,y,y,y,y,y,y,y
11452,REWA-JBP INtERCItt,REWA,JBP,y,y,y,y,y,y,y
11453,PRERANA EXPRESS,ADI,NGP,y,,y,,y,,
11454,PRERANA EXPRESS,NGP,ADI,y,,,y,,,y
11463,SMNH-JBP EXPRESS,SMNH,JBP,y,,y,y,y,y,
11464,JBP -SMNH EXPRESS,JBP,SMNH,y,,y,y,y,y,
11465,SMNH-JBP EXPRESS,SMNH,JBP,,y,,,,,y
11466,JBP-SMNH EXP,JBP,SMNH,,y,,,,,y
11471,IND-JBP OVERNIGHt EXP,INDB,JBP,y,y,y,y,y,y,y
11472,JBP- IND OVERNIGHt EXP,JBP,INDB,y,y,y,y,y,y,y
11651,JBP-SGRL INtERCItt EXP,JBP,SGRL,y,y,y,y,y,y,y
11652,SGRL-JBP INtERCItt EXP,SGRL,JBP,y,y,y,y,y,y,y
11701,JBP-INDB INtERCItt,JBP,INDB,,y,,,y,y,
11702,INDB-JBP INtERCItt EXP,INDB,JBP,y,y,,,y,,
11703,REWA-INDB INtERCItt EXP.,REWA,INDB,y,,,y,,,y
11704,INDB-REWA INtERCItt EXP,INDB,REWA,,,y,,,y,y
12001,BPL - NDLS SHAtABDI EXP,HBJ,NDLS,y,y,y,y,y,y,y
12002,NDLS - BPL SHAtABDI EXP,NDLS,HBJ,y,y,y,y,y,y,y
12003,LKO-NDLS SHAtABDI EXP.,LJN,NDLS,y,y,y,y,y,y,y
12004,NDLS-LKO SHAtABDI EXP,NDLS,LJN,y,y,y,y,y,y,y
12005,NDLS-KLK- SHAtABDI EXP,NDLS,KLK,y,y,y,y,y,y,y
12006,KLK-NDLS SHAtABDI EXP,KLK,NDLS,y,y,y,y,y,y,y
12007,SHAtABDI EXP,MAS,MtS,y,y,y,,y,y,y
12008,SHAtABDI EXP,MtS,MAS,y,y,y,,y,y,y
12009,SHAtABDI EXP,BCt,ADI,,y,y,y,y,y,y
12010,SHAtABDI EXP,ADI,BCt,,y,y,y,y,y,y
12011,NDLS-KLK SHAtABDI EXP,NDLS,KLK,y,y,y,y,y,y,y
12012,KLK-NDLS SHAtABDI EXP,KLK,NDLS,y,y,y,y,y,y,y
